Title,Author,Genre,My_Rating,Average_Rating,Pages,Original_Publication_Year,Date_Read,Month,Day,Year,Date_Added,SeasonColours,rating_gap
Normal People,Sally Rooney,Lit-fic,4,3.81,266,2018,9/27/2018,9,27,2018,2018/07/23,#f4a582,0.19
The Song of Achilles,Madeline Miller,Lit-fic,5,4.34,352,2011,9/22/2018,9,22,2018,2018/06/19,#f4a582,0.66
Boy Swallows Universe,Trent Dalton,Lit-fic,5,4.34,464,2018,9/22/2018,9,22,2018,2018/08/30,#f4a582,0.66
Run for Your Life,Bob Carr,Non-fiction,3,3.79,299,NA,9/9/2018,9,9,2018,2018/09/04,#f4a582,-0.79
"Rich People Problems (Crazy Rich Asians, #3)",Kevin Kwan,Lit-fic,5,3.95,398,2017,9/4/2018,9,4,2018,2018/09/04,#f4a582,1.05
"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,Lit-fic,5,3.84,378,2015,8/30/2018,8,30,2018,2018/08/30,#0571b0,1.16
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,Lit-fic,5,3.9,403,2013,8/30/2018,8,30,2018,2018/08/30,#0571b0,1.1
"Force of Nature (Aaron Falk, #2)",Jane Harper,Mystery,5,3.84,326,2017,8/11/2018,8,11,2018,2018/08/09,#0571b0,1.16
White Tears,Hari Kunzru,Lit-fic,5,3.68,271,2017,8/7/2018,8,7,2018,2018/02/23,#0571b0,1.32
The Vanity Fair Diaries: 1983 - 1992,Tina Brown,Non-fiction,5,3.75,435,2017,8/1/2018,8,1,2018,2018/02/23,#0571b0,1.25
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,Michelle McNamara,Non-fiction,5,4.12,352,2018,8/1/2018,8,1,2018,2018/07/22,#0571b0,0.88
Station Eleven,Emily St. John Mandel,Science fiction,3,4.07,333,2014,7/22/2018,7,22,2018,2018/05/02,#0571b0,-1.07
Circe,Madeline Miller,Lit-fic,4,4.24,393,2018,6/19/2018,6,19,2018,2018/06/19,#0571b0,-0.24
Kudos,Rachel Cusk,Lit-fic,3,3.91,236,2018,6/19/2018,6,19,2018,2018/06/19,#0571b0,-0.91
Transit,Rachel Cusk,Lit-fic,4,3.97,260,2016,6/12/2018,6,12,2018,2018/06/12,#0571b0,0.03
"The Dry (Aaron Falk, #1)",Jane Harper,Mystery,4,4.06,336,2016,6/6/2018,6,6,2018,2018/06/05,#0571b0,-0.06
Less,Andrew Sean Greer,Lit-fic,2,3.64,272,2017,6/5/2018,6,5,2018,2018/04/17,#0571b0,-1.64
Anatomy of a Scandal,Sarah Vaughan,Lit-fic,3,3.68,392,2018,6/3/2018,6,3,2018,2018/02/23,#0571b0,-0.68
Outline,Rachel Cusk,Lit-fic,4,3.68,249,2014,5/28/2018,5,28,2018,2018/03/06,#92c5de,0.32
Sourdough,Robin Sloan,Lit-fic,3,3.76,259,2017,5/25/2018,5,25,2018,2018/05/02,#92c5de,-0.76
The Green Road,Anne Enright,Lit-fic,4,3.5,336,2015,5/25/2018,5,25,2018,2018/02/23,#92c5de,0.5
The Vegetarian,Han Kang,Lit-fic,4,3.58,188,2007,5/1/2018,5,1,2018,2018/03/06,#92c5de,0.42
The Narrow Road to the Deep North,Richard Flanagan,Lit-fic,5,4.02,467,2013,4/27/2018,4,27,2018,2018/04/24,#92c5de,0.98
Pachinko,Min Jin Lee,Lit-fic,5,4.33,490,2017,4/20/2018,4,20,2018,2018/04/05,#92c5de,0.67
Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,Non-fiction,5,4.38,249,2017,4/11/2018,4,11,2018,2018/02/23,#92c5de,0.62
Her Body and Other Parties: Stories,Carmen Maria Machado,Lit-fic,5,3.85,248,2017,3/31/2018,3,31,2018,2018/02/23,#92c5de,1.15
Little Fires Everywhere,Celeste Ng,Lit-fic,4,4.08,338,2017,3/31/2018,3,31,2018,2018/02/23,#92c5de,-0.08
Swing Time,Zadie Smith,Lit-fic,5,3.56,453,2016,3/22/2018,3,22,2018,2018/02/23,#92c5de,1.44
Purple Hibiscus,Chimamanda Ngozi Adichie,Lit-fic,5,4.18,336,2003,3/18/2018,3,18,2018,2018/03/12,#92c5de,0.82
